validfromdate,validfromyearweek,validtodate,personid,portfolioid,iscorporatepersonyn,dateinstroomweek,dateinstroommaand,instroomjaarweek,instroompakket,birthyear,geslacht,type,enofyn,corporateid,birthday,subtype,code,name,aantalbetaaltransacties,aantalatmtransacties,aantalpostransacties,aantalfueltransacties,lasttransaceow,pakketcategorie_x,betalenyn,saldobetalen,depositoyn,saldodeposito,flexibelsparenyn,saldoflexibelsparen,kwartaalsparenyn,saldokwartaalsparen,saldototaal,saldolangetermijnsparen,aantaltegenrekeningenlaatsteq,aantalloginsapp,aantalloginsweb,lastactivityeow,pakketcategorie_y,overstapserviceyn,betaalalertsyn,roodstandyn,saldoregulatieyn,appyn,activitystatus,accountoverlays
2014-05-31,201422,,b15947e343c5044472a595e545fd05a5f85df525,f14bd4d80d6845bdf750447632e9b5719ce56ae8,0,2014-06-01,2014-06-30,201422.0,Plus,1986.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,282.0,0.0,234.0,2.0,2020-12-27,Particulier Betalend,1.0,3005.02,0.0,0.0,1.0,6029.0,0.0,0.0,9034.02,0.0,54.0,204.0,0.0,2020-12-27,Particulier Betalend,1.0,1.0,1.0,1.0,1.0,4.0,
2013-03-09,201310,,e14d3d4917905ecb585ee96edbc7e95a7660ab78,55510153e139554334e7ab895c4b407022f6f205,0,2013-10-06,2013-10-31,201340.0,Plus,1964.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-22,201421,,dab06dc576762846daf506b15c0bbd5eda205e73,7c8dc1a3ba901c4703a44714019cfb156a78106b,0,2014-05-25,2014-05-31,201421.0,Zakelijk,1967.0,Man,Corporate Portfolio,0.0,1a5581d545e5cb206a5d3977dfb6c51bf0cf462f,2007-01-19 00:00:00.000000,Eenmanszaak,6201.0,"6201 - Ontwikkelen, produceren en uitgeven van software",29.0,0.0,0.0,0.0,2020-12-27,Zakelijk pakket,1.0,56344.71,0.0,0.0,0.0,0.0,0.0,0.0,56344.71,0.0,12.0,0.0,2.0,2020-12-07,Zakelijk pakket,0.0,1.0,0.0,0.0,0.0,4.0,1.0
2014-05-07,201419,,2c1fed1db3aa38f71ae3073a1f4d257068228e34,f2a5fab2f62280ff892a16853551027285dd8969,0,2014-05-11,2014-05-31,201419.0,Basis,1968.0,Man,Private Portfolio,0.0,,,,,,16.0,0.0,0.0,0.0,2020-12-27,Particulier Betalend,1.0,750.89,0.0,0.0,1.0,4213.54,0.0,0.0,4964.43,0.0,6.0,117.0,0.0,2020-12-27,Particulier Betalend,0.0,1.0,0.0,1.0,1.0,3.0,
2014-05-01,201418,,5529c7fe784283a08865aafb303070dcbcc5c6cd,6f15961b6506f63e590406ed321acb7cc7a537e8,0,2014-05-04,2014-05-31,201418.0,Basis,1983.0,Man,Private Portfolio,0.0,,,,,,30.0,0.0,0.0,0.0,2020-12-27,Knab Basis,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,2020-12-27,Knab Basis,0.0,1.0,0.0,0.0,1.0,3.0,
2013-07-11,201328,,233478ea93ebe2b664d49b4ab5ee605417a2b4e4,2e011c0e661a71848ff3238800621d52891a7b85,0,2013-10-06,2013-10-31,201340.0,Premium,1974.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,201431,,306e65fd9df06288d52001a6c8408e79b4509c6f,be953657cdce1aac02d73d30c1c9a6619e4b4b99,0,2014-09-07,2014-09-30,201436.0,Basis,1952.0,Man,Private Portfolio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-20,201425,,602a24a65f2d4c0d408a1837cd539d91b2fb5411,40b4e0e31b4d1f863436ad3ee27db0159cc7f43b,0,2014-06-29,2014-06-30,201426.0,Plus,1984.0,Man(nen) en vrouw(en),Private Portfolio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03,201449,,7e0477c1b8f04e858871a0844e9fe5c0b582e3de,2188aadcf89ca11f8e8bbfddceb24c9f7a0e8c25,0,2014-08-31,2014-08-31,201435.0,Zakelijk,1962.0,Man(nen) en vrouw(en),Corporate Portfolio,0.0,524c3cf54f82ed2d1dfe82142c6dff28b57079cb,1996-10-03 12:49:00.000000,Besloten Vennootschap,6420.0,6420 - *Financiële holdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-03,201440,,55d390b9b5d1200c85584801d6738577def9f5e0,f68683a7c077f83e98b8c8429422b7ecfe6e6456,0,2014-10-19,2014-10-31,201442.0,Basis,1965.0,Man,Private Portfolio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
