valid_from_dateeow,valid_to_dateeow,personid,age_hh,hh_child,hh_size,income,educat4,housetype,finergy_tp,lfase,business_x,huidigewaarde_klasse,business_y,aantaltegenrekeningenlaatsteq_business,aantalloginsapp_business,aantalloginsweb_business,activitystatus_business,accountoverlay,retail,aantaltegenrekeningenlaatsteq_retail,aantalloginsapp_retail,aantalloginsweb_retail,activitystatus_retail,joint,aantaltegenrekeningenlaatsteq_joint,aantalloginsapp_joint,aantalloginsweb_joint,activitystatus_joint,portofliocountstotal,birthyear,geslacht
2018-10-14,,28e9f9191fefcc4a7a75bb9023d58e5484e54bde,13.0,9.0,11.0,3.0,2.0,2.0,C07,8.0,2.0,6.0,,,,,,,,,,,,,,,,,2,,
2015-05-17,,92eccbbbfa7349f603f2eb0da5ad0af51fd98460,8.0,9.0,11.0,5.0,3.0,2.0,B05,7.0,2.0,6.0,,,,,,,,,,,,,,,,,2,,
2017-07-16,,4521b888f50fa4f09cd518fe50a70711d76752a6,5.0,3.0,5.0,5.0,4.0,1.0,F16,4.0,2.0,9.0,1.0,8.0,12.0,0.0,4.0,,,,,,,,,,,,2,1977.0,Man
2020-01-05,,a9d75a7e8a0b8cc16e25c5a61e20494e4da2a6ac,11.0,1.0,3.0,5.0,4.0,2.0,A02,5.0,2.0,10.0,1.0,,,,,,,,,,,,,,,,2,1972.0,Man
2018-01-28,,7ef8e751f5c8d13cdf89fd3956d0ae7e767dae06,5.0,3.0,5.0,4.0,3.0,3.0,F16,4.0,2.0,4.0,1.0,,,,,,,,,,,1.0,,,,,3,1974.0,Man(nen) en vrouw(en)
2019-12-29,,8a7f7f658aa90fc62eb15b35cedb0486eb817659,4.0,2.0,4.0,4.0,4.0,2.0,E15,5.0,2.0,4.0,,,,,,,,,,,,,,,,,2,,
2018-09-16,,c1fa834af8d2d61728cada117dd017efee784c7d,4.0,1.0,2.0,1.0,2.0,5.0,H23,3.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,1,1979.0,Man
2018-07-29,,2fc6fb602522397b0d655d4189a9828bdb6e17d5,4.0,9.0,10.0,3.0,2.0,4.0,D11,6.0,1.0,4.0,,,,,,,,,,,,,,,,,1,,
2019-05-05,,d97a0de9468b1515a81414c9bfd8470a5803dad6,6.0,2.0,3.0,4.0,2.0,3.0,C08,4.0,1.0,5.0,1.0,28.0,162.0,0.0,4.0,,,,,,,,,,,,2,1993.0,Man
2020-08-23,,8b4fce7e3f8ca05ef946cf47a56002c099428189,2.0,1.0,3.0,2.0,3.0,5.0,G21,2.0,2.0,4.0,1.0,3.0,29.0,0.0,3.0,,,,,,,,,,,,2,1975.0,Man
2018-04-15,,9025167eed0aefd3b5e520a99ef3142c686bf500,4.0,9.0,10.0,3.0,3.0,4.0,I26,6.0,1.0,5.0,,,,,,,1.0,,,,,,,,,,1,1989.0,Vrouw
2019-02-24,,006dfaa01d33a2c310e6632b317796a7bd39e87c,7.0,9.0,11.0,5.0,3.0,1.0,C07,7.0,1.0,7.0,2.0,,,,,2.0,,,,,,,,,,,3,1966.0,Man
2019-02-17,,ab68456567f36ee9d95848bb60632b96f68ae41f,4.0,9.0,10.0,4.0,4.0,5.0,G22,6.0,1.0,7.0,1.0,1.0,6.0,0.0,3.0,,,,,,,,,,,,2,1956.0,Man
2014-06-29,,883580611a6cabcaeca2bcba2fdbfc710aacedee,8.0,9.0,11.0,5.0,3.0,1.0,C07,7.0,1.0,9.0,,,,,,,,,,,,,,,,,2,,
2020-07-05,,1c46b6622aa4d53ac61f726e895e73cd84c4e419,9.0,9.0,11.0,3.0,2.0,5.0,C09,7.0,1.0,3.0,,,,,,,,,,,,1.0,,,,,2,1958.0,Man(nen) en vrouw(en)
2020-04-12,,131732dab79547c329b3e9e169dd7d6609e921a2,3.0,1.0,3.0,4.0,3.0,4.0,F18,2.0,1.0,5.0,,,,,,,1.0,,,,,,,,,,1,1989.0,Man
2019-07-07,,2ef799801818f92c851c5c61dc9b78238527dac5,1.0,9.0,10.0,1.0,2.0,5.0,H23,1.0,1.0,2.0,,,,,,,,,,,,,,,,,2,,
2017-01-08,,c329f52ff304321a426c3a97c5a52d2f435fed24,10.0,9.0,10.0,5.0,4.0,5.0,G20,8.0,1.0,6.0,,,,,,,1.0,,,,,,,,,,1,1952.0,Vrouw
2014-10-12,,da8d3b2fd4f732f3e68df7e6b2ed9625f1302f61,9.0,9.0,11.0,5.0,4.0,3.0,C09,7.0,2.0,7.0,,,,,,,,,,,,,,,,,2,,
2015-01-11,,95f9c8ddbbe03f8f69b21850f7920579c603274c,3.0,2.0,4.0,3.0,3.0,1.0,C09,3.0,1.0,4.0,,,,,,,,,,,,,,,,,2,,
2019-09-08,,645891db1561cbc7d73e540b40ab13a03676c0c9,6.0,3.0,5.0,3.0,2.0,4.0,F18,4.0,1.0,3.0,1.0,14.0,71.0,3.0,4.0,1.0,,,,,,,,,,,2,1995.0,Mannen
2020-10-18,,e5f7351708cf2f6a2a7e774acb6e8dd360349bd3,,,,,,,Z99,,5.0,0.0,,,,,,,1.0,,,,,,,,,,1,1977.0,Man
2017-09-17,,41e9bce19d2196cdceedd593c31f37ae02b81f16,5.0,2.0,4.0,3.0,3.0,4.0,F18,3.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,2,1974.0,Man(nen) en vrouw(en)
2015-12-27,,ac0aad4347a0dab0132127765b9f2235efff9a67,5.0,9.0,10.0,4.0,3.0,4.0,C09,6.0,1.0,5.0,,,,,,,,,,,,1.0,,,,,2,1973.0,Man(nen) en vrouw(en)
2015-02-01,,62316163d7097bdee3a57489bcf64bc6ae6f57cc,9.0,9.0,11.0,3.0,4.0,3.0,J27,7.0,1.0,7.0,,,,,,,,,,,,,,,,,1,,
2019-01-13,,bf8f12e0e079f6b24639171813a5babce760f25e,11.0,9.0,11.0,4.0,3.0,1.0,E15,8.0,1.0,4.0,1.0,9.0,2.0,0.0,4.0,1.0,,,,,,,,,,,2,1978.0,Man
2018-03-18,,522eaa17351fc655dd422bfb15fdb9c1c4c489c0,8.0,1.0,3.0,1.0,1.0,2.0,F19,5.0,1.0,2.0,,,,,,,1.0,1.0,0.0,0.0,1.0,,,,,,2,1981.0,Man
2018-04-22,,d8ef7d033973f1e39e026f44bf256d5b9687a00e,1.0,9.0,10.0,2.0,2.0,4.0,E15,1.0,1.0,3.0,1.0,27.0,141.0,0.0,4.0,1.0,,,,,,,,,,,2,1994.0,Man
2014-10-26,,10950ead6d02526a9a78e1b8b31037ed0664f5c8,9.0,2.0,4.0,5.0,4.0,1.0,D10,5.0,2.0,7.0,,,,,,,,,,,,,,,,,1,,
2017-05-07,,f4cacc8eff7a80bb6335f55e31c1663ae2c15dde,10.0,9.0,11.0,5.0,4.0,1.0,C09,8.0,2.0,7.0,,,,,,,,,,,,,,,,,1,,
2017-05-14,,55d390b9b5d1200c85584801d6738577def9f5e0,7.0,2.0,4.0,5.0,2.0,4.0,G22,3.0,2.0,7.0,1.0,,,,,,1.0,,,,,,,,,,2,1965.0,Man
2019-01-06,,6796e97ef37a35cb5e69f871d6434d3754209274,8.0,9.0,11.0,5.0,3.0,1.0,C07,7.0,1.0,6.0,,,,,,,1.0,,,,,,,,,,2,1971.0,Man
2020-10-11,,5a7b74f3fe9a042847ad03a0d45702dae2dac133,2.0,9.0,10.0,1.0,2.0,5.0,I25,1.0,1.0,3.0,,,,,,,1.0,,,,,,,,,,2,1973.0,Man
2018-05-13,,24904107445564fa7bd4f745d8c484feea7ba195,5.0,3.0,5.0,5.0,4.0,4.0,B04,3.0,2.0,9.0,1.0,13.0,147.0,2.0,4.0,,,,,,,,,,,,2,1978.0,Vrouw
2018-08-12,,7199141664e42e5ad05aa173425464b6390e5259,9.0,9.0,11.0,5.0,4.0,1.0,A03,7.0,2.0,9.0,,,,,,,,,,,,1.0,26.0,194.0,1.0,4.0,2,1981.0,Man(nen) en vrouw(en)
2017-11-12,,e889cb676f51831b46cf993c9ee5c5bf171bb6c7,6.0,3.0,5.0,5.0,3.0,3.0,C06,4.0,2.0,6.0,1.0,,,,,,,,,,,,,,,,2,1980.0,Man
2018-10-21,,59ee0732eff305ff917807a92f98742db6599237,5.0,9.0,11.0,5.0,4.0,4.0,A01,6.0,1.0,9.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,2,1980.0,Vrouw
2017-11-05,,7d5f9821d32c6208036ee96c81acf57c871ff90e,3.0,9.0,10.0,3.0,4.0,4.0,I25,1.0,2.0,6.0,,,,,,,,,,,,1.0,,,,,2,1984.0,Man(nen) en vrouw(en)
2020-12-20,,aada268c2b038641f790c68ec35bf726d803e266,2.0,1.0,3.0,5.0,4.0,4.0,C09,2.0,1.0,8.0,1.0,1.0,,,,,,,,,,,,,,,2,1987.0,Vrouw
2018-04-22,,3b81e12ae980d1339d749269ed82c47329e0acda,3.0,9.0,11.0,4.0,4.0,5.0,G20,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,2,1981.0,Man
2014-08-24,,34fa0cee6922c6c92b639d077dbebe1c803e7ea0,9.0,3.0,5.0,5.0,4.0,3.0,A01,5.0,2.0,8.0,,,,,,,1.0,,,,,,,,,,1,1965.0,Man
2014-12-07,,a5f3586853b836876237d24e12c0d9afe993356f,3.0,9.0,10.0,5.0,4.0,1.0,C07,1.0,2.0,10.0,,,,,,,1.0,,,,,,,,,,1,1956.0,Man
2018-07-01,,95a20a7387bf87e092d4263708f234d37f48baa2,3.0,1.0,2.0,5.0,3.0,1.0,C07,2.0,1.0,9.0,,,,,,,,,,,,,,,,,1,,
2020-11-15,,0caa4a5f95f655603778ca4315d0661f7e60d27e,5.0,2.0,4.0,4.0,3.0,3.0,B04,3.0,1.0,5.0,1.0,6.0,,,,,,,,,,,,,,,2,1984.0,Vrouw
2020-09-27,,5bf717c41fa8566f9a02915d9146155034990534,3.0,1.0,2.0,3.0,2.0,4.0,B04,2.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,2,1985.0,Man
2014-12-28,,8f092b2f05d54f6cf75a30223fe77045d747b8e0,7.0,9.0,11.0,5.0,4.0,1.0,A01,7.0,2.0,6.0,2.0,39.0,351.0,8.0,4.0,,1.0,49.0,351.0,8.0,4.0,,,,,,4,1965.0,Man
2020-01-05,,e493453745dbe8e6bc581cd3600c2536efff0ab5,4.0,9.0,10.0,1.0,2.0,5.0,J27,6.0,1.0,3.0,1.0,10.0,25.0,0.0,4.0,,,,,,,,,,,,2,1974.0,Vrouw
2017-04-30,,27439eb5a6bdbdd27195121e5bfbebb60dd29662,8.0,9.0,11.0,5.0,4.0,2.0,B04,7.0,2.0,9.0,1.0,,,,,1.0,,,,,,,,,,,2,1962.0,Vrouw
2018-08-19,,e680fa4a48a1177b7f5306bfd24f549d95251d38,10.0,1.0,3.0,4.0,3.0,3.0,C06,4.0,2.0,5.0,2.0,36.0,255.0,0.0,4.0,2.0,,,,,,,,,,,3,1965.0,Man(nen) en vrouw(en)
2018-08-19,,e680fa4a48a1177b7f5306bfd24f549d95251d38,10.0,1.0,3.0,4.0,3.0,3.0,C06,4.0,2.0,5.0,2.0,36.0,255.0,0.0,4.0,2.0,,,,,,,,,,,3,1965.0,Vrouw
2020-10-04,,a3f30ed174c24faac91e1a3487681ade9d5f3a92,,,,,,,Z99,,6.0,0.0,,,,,,,1.0,,,,,,,,,,1,1998.0,Man
2019-06-30,,90d7e27ea114329780bae1f969559b32d7a50ba8,7.0,2.0,4.0,5.0,2.0,1.0,D10,5.0,1.0,7.0,,,,,,,,,,,,,,,,,2,,
2020-08-23,,929407bac905454fe945716588145bbb7d1f69b7,7.0,9.0,11.0,5.0,2.0,1.0,C07,7.0,1.0,6.0,1.0,8.0,78.0,0.0,4.0,,,,,,,,,,,,2,1968.0,Vrouw
2019-04-07,,d97b6dc047f5c514d29504b48f41bb450472c75a,7.0,1.0,3.0,3.0,2.0,3.0,C06,5.0,1.0,5.0,1.0,14.0,146.0,5.0,4.0,1.0,1.0,18.0,146.0,5.0,3.0,,,,,,2,1974.0,Vrouw
2014-12-28,,274336d02079e2b311ea3625bc5b2383ccc61c9c,3.0,1.0,3.0,5.0,4.0,1.0,C07,2.0,1.0,9.0,,,,,,,,,,,,,,,,,1,,
2019-01-20,,5cee6fa564c94381fdb0c0f3e6f7d0e69858a301,13.0,9.0,10.0,1.0,1.0,5.0,J28,8.0,1.0,4.0,,,,,,,,,,,,,,,,,2,,
